Product,Feature,Use Case Title,User/Actor,Scenario,AI Action,Result
AI Discovery,Multi-Domain Discovery,Travel Planning,Consumer,"User says: I'm visiting Bengaluru tomorrow — need a hotel near MG Road, EV charging nearby, and a South Indian restaurant for dinner","Decomposes into 3 domain queries: Hospitality (hotel + MG Road + tomorrow), Energy (EV charging near MG Road), Food (South Indian + dinner). Searches across all 3 domains in parallel.","Hotel: The Paul, MG Road — ₹3,200/night, 4.3★, 200m from MG Road | EV: Ather Grid Station — 0.5km from hotel, DC fast charge, ₹15/kWh | Restaurant: Vidyarthi Bhavan — 1.2km, 4.7★, closes 9 PM"
AI Discovery,Multi-Domain Discovery,Healthcare + Mobility,Consumer,"User says: Find me a dentist in Koramangala available this Saturday, and a cab to get there from HSR Layout","Queries Healthcare domain (dentist + Koramangala + Saturday) and Mobility domain (cab + HSR Layout → matched dentist location)","Dentist: Dr. Meera's Dental Clinic — Sat 10 AM-2 PM, ₹500 consultation | Cab: Namma Yatri — HSR → Koramangala, ~₹120, 15 min"
AI Discovery,Multi-Language Search,Regional Language Shopping,Consumer (Tamil speaker),"User searches in Tamil: என் அருகில் 300 ரூபாய்க்கு கீழ் அரிசி (Rice under 300 near me)","Detects Tamil, translates intent, searches English catalogs for rice + price < 300 + user location","Returns results in Tamil: Ponni Rice 5kg — ₹280, 2.1 km | Surat Basmati 1kg — ₹190, 3.4 km"
AI Discovery,Multi-Language Search,Voice in Hindi,Consumer (Hindi speaker),"User speaks in Hindi: Mere paas mein koi accha gym hai kya monthly 2000 ke andar?","Speech-to-text → intent: gym + nearby + price < 2000/month → searches English fitness catalogs","Responds in Hindi: 3 gyms found — closest FitZone, 800m, ₹1,500/month, 4.2 rating"
AI Discovery,Smart Ranking,Same Product Multiple Providers,Consumer,"User searches: Bru Coffee 200g — 10 providers have it","Ranks by composite score: distance + delivery speed + price + trust score. Adjusts weights by context (time of day, urgency).","#1 QuickMart ₹185, 1.2km, 30min, trust 96% (best balance) | #2 MegaStore ₹170, 4.5km, 2hrs, trust 91% (cheapest) | #3 FreshBasket ₹195, 0.8km, 20min, trust 72% (closest but low trust)"
AI Discovery,Smart Ranking,Context-Aware Late Night,Consumer,"Same query Bru Coffee 200g but at 11 PM","Re-weights ranking: availability and speed ranked higher than price at late hours","#1 NightOwl Store ₹210, 0.5km, open 24/7, 15min delivery — availability prioritized over price"
AI Discovery,Personalization,Learning Over Time,Consumer,"User picks Nandini Toned Milk 500ml three weeks in a row when searching milk","Tracks selection patterns, builds brand and product preference profile","Week 3: Nandini Toned Milk auto-ranked #1 for milk. Week 5: Nandini brand boosted for curd search too (learned brand preference)"
AI Discovery,Personalization,Time + Location + Weather,Consumer,"Monday 7 AM user searches food vs Saturday 8 PM same user searches food","Adjusts ranking based on time-of-day (breakfast vs dinner), day-of-week (weekday rush vs weekend leisure), weather (rainy = delivery over dine-in)","Morning: idli, dosa, poha ranked higher, quick delivery prioritized | Evening: restaurants ranked higher, rating weighted more | Rainy: delivery boosted, hot soup and chai nudged up"
AI Discovery,Cross-Domain Recommendations,Hotel Booking Triggers,Consumer,"User books a hotel in Mysuru for the weekend","Detects travel intent, cross-references mobility, food, and energy domains for the destination","Recommends: Mysuru day tour cab ₹2,500 | Top rated restaurants near hotel | EV charging on Bengaluru-Mysuru highway (if EV history exists)"
AI Discovery,Cross-Domain Recommendations,Grocery Pattern,Consumer,"User buys baby formula every 2 weeks, last ordered 12 days ago","Tracks purchase frequency, predicts replenishment timing, identifies complementary products","Notification: Running low on baby formula? Shows best current prices. Also suggests: Baby diapers — 3 providers have offers this week"
Catalog AI Studio,One-Click Onboarding,Kirana Store Excel Upload,BPP (Small store owner),"Store owner uploads Excel with columns: Product Name, Price, Weight, Brand (3 rows of grocery items)","Auto-maps: Product Name → descriptor.name, Price → offerAttributes.priceSpecification.price, Weight → resourceAttributes.weight, Brand → resourceAttributes.brand","Mapped 3 resources, 3 offers. Schema: GroceryItem. Missing: shortDesc, images, category. Quality: 62/100. Options: Auto-fix, Publish anyway, Let AI enrich"
Catalog AI Studio,One-Click Onboarding,Shopify Import,BPP (Online store),"Provider connects Shopify store with 500 products","Pulls via Shopify API, maps: SKU → resource.id, title → descriptor.name, body_html → descriptor.longDesc, variants.price → offers, images → descriptor.images, product_type → category","500 resources published in 5 minutes. 12 missing descriptions auto-generated. Catalog quality: 84/100"
Catalog AI Studio,Auto-Enrichment,Generate Missing Descriptions,BPP,"Provider published Organic Honey with attributes (weight: 500g, type: multiflora, origin: Coorg) but no description","LLM generates shortDesc and longDesc from available attributes and domain knowledge","shortDesc: Pure multiflora organic honey from Coorg, 500g | longDesc: Sourced from the Western Ghats of Coorg, this 500g multiflora organic honey is raw, unprocessed..."
Catalog AI Studio,Auto-Enrichment,Category Suggestion,BPP,"Provider publishes 200 resources with no categories assigned","Analyzes resource attributes and names, classifies into domain-specific category hierarchy, flags mismatches","45 → Grocery > Staples > Rice & Pulses | 30 → Grocery > Beverages > Tea & Coffee | 10 → Grocery > Personal Care > Hair Oil (flagged as possibly misplaced)"
Catalog AI Studio,Content Generation,Marketing Content for Offers,BPP,"Provider creates offer: Buy 2 Get 1 Free on Tata Tea Gold 250g","Generates offer description copy and analyzes purchase patterns for bundle suggestions","Offer copy: Stock up and save! Get 3 packs for the price of 2. Limited time. | Bundle suggestion: Consider bundling with Parle-G biscuits — 73% of chai buyers also buy biscuits"
Catalog AI Studio,Schema Compliance Scoring,Quality Dashboard,BPP,"Provider FreshMart has 150 published resources","Scores catalog across 4 dimensions: schema compliance, completeness, freshness, accuracy. Identifies specific issues with fix suggestions.","Score 71/100 | Schema: 95 (2 invalid price formats) | Completeness: 60 (45 missing shortDesc, 80 missing images) | Freshness: 90 (updated 2 days ago) | Accuracy: 40 (3 missing units, 1 wrong price)"
Catalog AI Studio,Schema Generation,Auto-Generate Schema for New Domain,Network Facilitator,"Facilitator launching Pet Services domain provides sample data: { service: Dog grooming, duration: 1hr, pet_type: dog, price: 800, home_visit: true }","Analyzes sample data, infers field types, enums, and constraints. Generates Beckn-compliant schema definition.","Generated PetService schema with fields: serviceType (enum), duration (pattern), petType (enum), homeVisit (boolean). Ready for review and publish to beckn-spec"
Network Intelligence,Trust Scoring,Provider Credibility Score,Network Facilitator,"Provider QuickMart has been on the network for 6 months with extensive transaction history","Computes composite score: catalog quality (88) + response rate (99) + response time (95) + freshness (92) + transaction history (96) + fraud flags (0)","Trust Score: 94/100. Badge: Trusted Provider. Visible to consumers in search results for ranking."
Network Intelligence,Trust Scoring,New Suspicious Provider,Network Facilitator,"Provider SuperDeals99 — account age 2 days, published 2000 resources in first hour, identical descriptions, prices 40-60% below market","Flags: unusual volume, template descriptions, below-market pricing, unverified address. Computes risk level.","Trust Score: 31/100. HIGH RISK — suspected fake catalog. Options: Quarantine provider, Request verification, Allow with warning"
Network Intelligence,Fraud Detection,Price Manipulation,Network Facilitator,"3 providers in Electronics domain simultaneously change prices on 15 identical resources by 39-49% within 2 hours","Detects coordinated price change pattern, checks for market events (sales, shortages), computes collusion likelihood","Alert: Coordinated price increase on Samsung Galaxy Buds2 across 3 providers. No market event detected. Likelihood of price collusion: HIGH. Options: Investigate, Flag, Dismiss"
Network Intelligence,Fraud Detection,Duplicate Listing Detection,Network Facilitator,"Provider MegaStore catalog has 89% similarity with FreshMart — 142 of 160 resources identical, same image hashes, prices exactly 5% higher","Computes catalog similarity via description embeddings and image hashing, identifies pricing pattern, checks provider addresses","Alert: Duplicate catalog detected. 89% match with FreshMart. Same images, prices 5% higher, addresses 200m apart. Possible same owner or catalog theft. Options: Contact both, Flag for review"
Network Intelligence,Demand Prediction,Supply-Demand Gap,Network Facilitator,"Monthly network analysis shows search queries with zero results","Aggregates zero-result discover queries by domain, location, and volume. Estimates revenue opportunity.","Top gaps: organic vegetables in North Bengaluru (5,200 searches/month, 0 providers) | EV charging Whitefield (3,100 searches, 1 provider often offline) | Revenue opportunity: ₹15L/month for organic veg providers"
Network Intelligence,Demand Prediction,Seasonal Forecast,Network Facilitator,"Approaching Ugadi festival (Apr 6) and summer season","Analyzes historical search patterns, predicts demand spikes by category, evaluates current provider capacity against predicted demand","Ugadi: Puja items +300%, sweets +180%, flowers +250%. Flower capacity INSUFFICIENT (only 2 providers). Action: Recruit 3-5 flower vendors before Apr 1. Summer: AC servicing +400% (capacity OK), water delivery +200% (gap beyond ORR)"
Network Intelligence,Demand Prediction,Real-Time Capacity Monitoring,Network Facilitator,"Thursday 5:45 PM — EV charging searches spiking in Koramangala","Monitors real-time search volume, tracks station availability, predicts demand at peak time using historical patterns","Current: 47 searches in 15 min, 3 of 8 stations available. Predicted 6:30 PM: 72 searches, 30% capacity gap. Action: Notify nearby providers (HSR, BTM) for overflow, show availability predictions in search"
Transaction Agent,Autonomous Purchase,Routine Grocery Purchase,Consumer,"User says: Buy me 2kg Bru Coffee from the cheapest provider near me","DISCOVER (search + rank by price) → SELECT (cheapest provider) → asks user confirmation with price → INIT (delivery address) → CONFIRM (saved UPI payment)","Found Bru Coffee 2kg at ValueMart ₹340 + ₹30 delivery = ₹370, 45 min delivery. Order confirmed, arriving by 7:15 PM. Order ID: BKN-28374"
